,0,1
0,0.0,0.0
1,0.0,0.0
2,-0.012000000000000002,-0.012000000010716279
3,-0.024000000000000035,-0.02400000001071628
4,-0.03600000000000003,-0.03600000001071628
5,-0.04,-0.04
6,-0.04,-0.04
7,-0.04,-0.04
8,-0.04,-0.04
9,-0.04,-0.04
10,-0.04,-0.04
11,-0.04,-0.04
12,-0.04,-0.04
13,-0.04,-0.04
14,-0.04,-0.04
15,-0.04,-0.04
16,-0.04,-0.04
17,-0.04,-0.04
18,-0.04,-0.04
19,-0.04,-0.04
20,-0.04,-0.04
21,-0.04,-0.04
22,-0.04,-0.04
23,-0.04,-0.04
24,-0.04,-0.04
25,-0.04,-0.04
26,-0.04,-0.04
27,-0.029999999993380877,-0.027999999995097228
28,-0.017999999993380877,-0.015999999995097228
29,-0.0059999999933808765,-0.0039999999950972275
30,0.006000000006619124,0.008000000004902773
31,0.01,0.01
32,0.01,0.01
33,0.01,0.01
34,0.01,0.01
35,0.01,0.01
36,0.01,0.01
37,0.01,0.01
38,0.01,0.01
39,0.01,0.01
40,0.01,0.01
41,0.01,0.01
42,0.01,0.01
43,0.01,0.01
44,0.01,0.01
45,0.01,0.01
46,0.01,0.01
47,0.01,0.01
48,0.01,0.01
49,0.01,0.01
50,0.01,0.01
51,0.01,0.01
52,0.01,0.01
53,0.01,0.01
54,0.01,0.01
55,0.01,0.01
56,0.01,0.01
57,0.01,0.01
58,0.01,0.01
59,0.01,0.01
60,0.01,0.01
61,0.01,0.01
62,0.01,0.01
63,0.01,0.01
64,0.01,0.01
65,0.01,0.01
66,0.01,0.01
67,0.01,0.01
68,0.01,0.01
69,0.01,0.01
70,0.01,0.01
71,0.01,0.01
72,0.01,0.01
73,0.01,0.01
74,0.01,0.01
75,0.01,0.01
76,0.01,0.01
77,0.01,0.01
78,0.01,0.01
79,0.01,0.01
80,0.01,0.01
81,0.01,0.01
82,0.01,0.01
83,0.01,0.01
84,0.01,0.01
85,0.01,0.01
86,0.01,0.01
87,0.01,0.01
88,0.01,0.01
89,0.01,0.01
90,0.01,0.01
91,0.01,0.01
92,0.01,0.01
93,0.01,0.01
94,0.01,0.01
95,0.01,0.01
96,0.01,0.01
97,0.01,0.01
98,0.01,0.01
99,0.01,0.01
100,0.01,0.01
101,0.01,0.01
102,0.01,0.01
103,0.01,0.01
104,0.01,0.01
105,0.01,0.01
106,0.01,0.01
107,0.01,0.01
108,0.01,0.01
109,0.01,0.01
110,0.01,0.01
111,0.01,0.01
112,0.01,0.01
113,0.01,0.01
114,0.01,0.01
115,0.01,0.01
116,0.01,0.01
117,0.01,0.01
118,0.01,0.01
119,0.01,0.01
120,0.01,0.01
121,0.01,0.01
122,0.01,0.01
123,0.01,0.01
124,0.01,0.01
125,0.01,0.01
126,0.01,0.01
127,0.01,0.01
128,0.01,0.01
129,0.01,0.01
130,0.00999999998570928,0.0019999999940447516
131,0.0,0.0
132,0.0,0.0
133,0.0,0.0
134,0.0,0.0
135,0.0,0.0
136,0.0,0.0
137,0.0,0.0
